,label,x,y,w,h
1,1,0.542969,0.539352,0.0744792,0.219444
3,1,0.542969,0.538889,0.0744792,0.218519
5,1,0.542708,0.539352,0.075,0.219444
7,1,0.542969,0.539352,0.0744792,0.219444
9,1,0.542708,0.539352,0.075,0.219444
11,1,0.542969,0.539352,0.0744792,0.219444
13,1,0.542969,0.539352,0.0744792,0.219444
15,1,0.542969,0.539352,0.0744792,0.219444
17,1,0.542969,0.539352,0.0744792,0.219444
19,1,0.542969,0.539352,0.0744792,0.219444
21,1,0.542969,0.539352,0.0744792,0.219444
23,1,0.542969,0.539352,0.0744792,0.219444
25,1,0.542969,0.539352,0.0744792,0.219444
27,1,0.542969,0.539352,0.0744792,0.219444
29,1,0.542969,0.539352,0.0744792,0.219444
31,1,0.542969,0.539352,0.0744792,0.219444
33,1,0.542969,0.539352,0.0744792,0.219444
35,1,0.542969,0.539352,0.0744792,0.219444
37,1,0.542969,0.538889,0.0744792,0.218519
39,1,0.542969,0.539352,0.0744792,0.219444
41,1,0.542969,0.539352,0.0744792,0.219444
43,1,0.542969,0.538889,0.0744792,0.22037
45,1,0.542969,0.539352,0.0744792,0.219444
47,1,0.543229,0.539352,0.075,0.219444
49,1,0.542969,0.539352,0.0744792,0.219444
51,1,0.543229,0.539352,0.075,0.219444
53,1,0.542969,0.539352,0.0744792,0.219444
55,1,0.543229,0.539352,0.075,0.219444
57,1,0.542969,0.539352,0.0744792,0.219444
59,1,0.543229,0.539352,0.075,0.219444
61,1,0.542969,0.539352,0.0744792,0.219444
63,1,0.542969,0.539352,0.0744792,0.219444
65,1,0.542969,0.539352,0.0744792,0.219444
67,1,0.542969,0.539352,0.0744792,0.219444
69,1,0.542969,0.539352,0.0744792,0.219444
71,1,0.543229,0.539352,0.075,0.219444
73,1,0.542969,0.539352,0.0744792,0.219444
75,1,0.542969,0.539352,0.0744792,0.219444
77,1,0.542969,0.538889,0.0744792,0.22037
79,1,0.542969,0.539352,0.0744792,0.219444
81,1,0.543229,0.539352,0.075,0.219444
83,1,0.542969,0.539352,0.0744792,0.219444
85,1,0.543229,0.539352,0.075,0.219444
