,label,x,y,w,h
1,0,0.40599,0.616667,0.0890625,0.224074
3,0,0.40599,0.616204,0.0890625,0.223148
5,0,0.40599,0.616667,0.0890625,0.224074
7,0,0.405729,0.616204,0.0885417,0.223148
9,0,0.405729,0.616667,0.0885417,0.224074
11,0,0.405729,0.616204,0.0885417,0.223148
13,0,0.40599,0.616204,0.0890625,0.223148
15,0,0.40599,0.616667,0.0890625,0.224074
17,0,0.40599,0.616667,0.0890625,0.224074
19,0,0.40599,0.616667,0.0890625,0.224074
21,0,0.405729,0.616667,0.0885417,0.222222
23,0,0.405729,0.616667,0.0885417,0.222222
25,0,0.40599,0.616667,0.0890625,0.224074
27,0,0.405729,0.616204,0.0885417,0.223148
29,0,0.40599,0.616667,0.0890625,0.222222
31,0,0.40599,0.616667,0.0890625,0.224074
33,0,0.40599,0.616667,0.0890625,0.222222
35,0,0.40599,0.616204,0.0890625,0.223148
37,0,0.405729,0.616204,0.0885417,0.223148
39,0,0.40599,0.616667,0.0890625,0.224074
41,0,0.405729,0.616667,0.0885417,0.224074
43,0,0.40599,0.616204,0.0890625,0.223148
45,0,0.40599,0.616667,0.0890625,0.224074
47,0,0.40599,0.616667,0.0890625,0.224074
49,0,0.40599,0.616667,0.0890625,0.224074
51,0,0.40599,0.616667,0.0890625,0.224074
53,0,0.40599,0.616667,0.0890625,0.224074
55,0,0.40599,0.616204,0.0890625,0.223148
57,0,0.40599,0.616204,0.0890625,0.223148
59,0,0.40599,0.616667,0.0890625,0.224074
61,0,0.405729,0.616667,0.0885417,0.224074
63,0,0.405729,0.616204,0.0885417,0.223148
65,0,0.40599,0.616667,0.0890625,0.224074
67,0,0.40599,0.616204,0.0890625,0.223148
69,0,0.405729,0.616667,0.0885417,0.224074
71,0,0.405729,0.616204,0.0885417,0.223148
73,0,0.40599,0.616667,0.0890625,0.224074
75,0,0.40599,0.61713,0.0890625,0.223148
77,0,0.405729,0.616204,0.0885417,0.223148
79,0,0.405729,0.616667,0.0885417,0.224074
81,0,0.405729,0.616667,0.0885417,0.224074
83,0,0.40599,0.616204,0.0890625,0.223148
85,0,0.405729,0.616204,0.0885417,0.223148
87,0,0.40599,0.616204,0.0890625,0.223148
89,0,0.40599,0.616667,0.0890625,0.222222
91,0,0.40599,0.616204,0.0890625,0.223148
93,0,0.405729,0.616204,0.0885417,0.223148
95,0,0.40599,0.616667,0.0890625,0.222222
97,0,0.405729,0.616667,0.0885417,0.224074
99,0,0.40599,0.616667,0.0890625,0.224074
101,0,0.40599,0.616204,0.0890625,0.223148
103,0,0.40599,0.616667,0.0890625,0.224074
105,0,0.40599,0.616667,0.0890625,0.224074
107,0,0.40599,0.616667,0.0890625,0.224074
109,0,0.40599,0.616667,0.0890625,0.224074
111,0,0.405729,0.616667,0.0885417,0.224074
113,0,0.40599,0.616204,0.0890625,0.223148
115,0,0.405729,0.616667,0.0885417,0.222222
117,0,0.40599,0.616204,0.0890625,0.223148
119,0,0.405729,0.616667,0.0885417,0.224074
121,0,0.405729,0.616667,0.0885417,0.222222
123,0,0.40625,0.616667,0.0885417,0.222222
125,0,0.405729,0.61713,0.0885417,0.223148
127,0,0.405729,0.616667,0.0885417,0.224074
129,0,0.40599,0.616204,0.0890625,0.223148
131,0,0.405729,0.616204,0.0885417,0.223148
133,0,0.405729,0.616204,0.0885417,0.223148
135,0,0.40599,0.616667,0.0890625,0.222222
137,0,0.405729,0.616204,0.0885417,0.223148
139,0,0.40599,0.61713,0.0890625,0.223148
141,0,0.405729,0.616667,0.0885417,0.222222
143,0,0.405729,0.616204,0.0885417,0.223148
145,0,0.405729,0.616667,0.0885417,0.224074
