,label,x,y,w,h
1,1,0.527083,0.533333,0.078125,0.205556
3,1,0.527083,0.533333,0.078125,0.205556
5,1,0.527083,0.53287,0.078125,0.206481
7,1,0.527344,0.53287,0.0776042,0.206481
9,1,0.527083,0.53287,0.078125,0.206481
11,1,0.527083,0.53287,0.078125,0.206481
13,1,0.527083,0.533333,0.078125,0.205556
15,1,0.527083,0.533333,0.078125,0.205556
17,1,0.527344,0.53287,0.0776042,0.206481
19,1,0.527083,0.53287,0.078125,0.206481
21,1,0.527083,0.53287,0.078125,0.206481
23,1,0.527083,0.53287,0.078125,0.206481
25,1,0.527083,0.53287,0.078125,0.206481
27,1,0.527083,0.53287,0.078125,0.206481
29,1,0.527083,0.533333,0.078125,0.207407
31,1,0.527083,0.53287,0.078125,0.206481
33,1,0.527344,0.53287,0.0776042,0.206481
35,1,0.527083,0.532407,0.078125,0.205556
37,1,0.527083,0.533333,0.078125,0.205556
39,1,0.527344,0.53287,0.0776042,0.206481
41,1,0.527083,0.533333,0.078125,0.205556
43,1,0.527083,0.53287,0.078125,0.206481
45,1,0.527083,0.53287,0.078125,0.206481
47,1,0.527083,0.532407,0.078125,0.205556
49,1,0.527083,0.533333,0.078125,0.205556
51,1,0.527344,0.533333,0.0776042,0.205556
53,1,0.527083,0.53287,0.078125,0.206481
55,1,0.527083,0.53287,0.078125,0.206481
57,1,0.527083,0.53287,0.078125,0.206481
59,1,0.527083,0.53287,0.078125,0.206481
61,1,0.527083,0.533333,0.078125,0.205556
63,1,0.527083,0.53287,0.078125,0.206481
65,1,0.527083,0.53287,0.078125,0.206481
67,1,0.527083,0.53287,0.078125,0.206481
69,1,0.527083,0.53287,0.078125,0.206481
71,1,0.527083,0.53287,0.078125,0.206481
73,1,0.527083,0.533333,0.078125,0.205556
75,1,0.527083,0.533333,0.078125,0.205556
77,1,0.527083,0.53287,0.078125,0.206481
79,1,0.527083,0.53287,0.078125,0.206481
81,1,0.527604,0.53287,0.078125,0.206481
83,1,0.527083,0.53287,0.078125,0.206481
85,1,0.527083,0.533333,0.078125,0.207407
87,1,0.527083,0.53287,0.078125,0.206481
89,1,0.527083,0.53287,0.078125,0.206481
91,1,0.527083,0.53287,0.078125,0.206481
93,1,0.527083,0.533333,0.078125,0.205556
95,1,0.527083,0.53287,0.078125,0.206481
97,1,0.527083,0.53287,0.078125,0.206481
99,1,0.527083,0.53287,0.078125,0.206481
101,1,0.527344,0.533333,0.0786458,0.205556
103,1,0.527083,0.533333,0.078125,0.205556
105,1,0.527083,0.53287,0.078125,0.206481
107,1,0.527083,0.53287,0.078125,0.206481
109,1,0.527083,0.533796,0.078125,0.206481
111,1,0.527083,0.533333,0.078125,0.207407
113,1,0.527083,0.533333,0.078125,0.205556
115,1,0.527083,0.533796,0.078125,0.206481
117,1,0.527083,0.53287,0.078125,0.206481
119,1,0.527083,0.53287,0.078125,0.206481
121,1,0.527344,0.533333,0.0776042,0.205556
123,1,0.527083,0.533796,0.078125,0.206481
125,1,0.527083,0.53287,0.078125,0.206481
127,1,0.527083,0.533333,0.078125,0.205556
129,1,0.527083,0.53287,0.078125,0.206481
131,1,0.527083,0.533333,0.078125,0.205556
133,1,0.527083,0.533333,0.078125,0.205556
135,1,0.527083,0.533333,0.078125,0.205556
137,1,0.527344,0.533333,0.0776042,0.205556
139,1,0.527083,0.533333,0.078125,0.205556
