,label,x,y,w,h
0,1,0.560156,0.367593,0.0890625,0.196296
2,1,0.560417,0.36713,0.0885417,0.19537
4,1,0.559896,0.368519,0.0885417,0.196296
6,1,0.560156,0.367593,0.0890625,0.196296
8,1,0.559896,0.367593,0.0885417,0.196296
10,1,0.560156,0.367593,0.0890625,0.196296
12,1,0.559896,0.367593,0.0885417,0.196296
14,1,0.560156,0.36713,0.0890625,0.19537
16,1,0.559896,0.36713,0.0885417,0.19537
18,1,0.560156,0.368056,0.0890625,0.19537
20,1,0.560156,0.36713,0.0890625,0.19537
22,1,0.560156,0.367593,0.0890625,0.196296
24,1,0.559896,0.36713,0.0885417,0.19537
26,1,0.559896,0.36713,0.0885417,0.19537
28,1,0.560156,0.367593,0.0890625,0.196296
30,1,0.560156,0.36713,0.0890625,0.19537
32,1,0.560156,0.36713,0.0890625,0.19537
34,1,0.559896,0.368056,0.0885417,0.19537
36,1,0.559896,0.36713,0.0885417,0.19537
38,1,0.560156,0.367593,0.0890625,0.196296
40,1,0.559896,0.36713,0.0885417,0.19537
42,1,0.560156,0.36713,0.0890625,0.19537
44,1,0.560156,0.367593,0.0890625,0.196296
46,1,0.559896,0.36713,0.0885417,0.19537
48,1,0.560156,0.367593,0.0890625,0.196296
50,1,0.560156,0.368056,0.0890625,0.197222
52,1,0.559896,0.367593,0.0885417,0.196296
54,1,0.559896,0.36713,0.0885417,0.19537
56,1,0.560156,0.367593,0.0890625,0.196296
58,1,0.560156,0.367593,0.0890625,0.196296
60,1,0.560156,0.367593,0.0890625,0.196296
62,1,0.560156,0.367593,0.0890625,0.196296
64,1,0.560156,0.367593,0.0890625,0.196296
66,1,0.560156,0.367593,0.0890625,0.196296
68,1,0.559896,0.36713,0.0885417,0.19537
70,1,0.560156,0.367593,0.0890625,0.196296
72,1,0.560156,0.367593,0.0890625,0.196296
74,1,0.559896,0.367593,0.0885417,0.196296
76,1,0.560156,0.367593,0.0890625,0.196296
78,1,0.560156,0.367593,0.0890625,0.196296
80,1,0.560156,0.367593,0.0890625,0.196296
82,1,0.560156,0.36713,0.0890625,0.19537
84,1,0.560156,0.367593,0.0890625,0.196296
86,1,0.560156,0.367593,0.0890625,0.196296
88,1,0.560156,0.36713,0.0890625,0.19537
90,1,0.560156,0.367593,0.0890625,0.196296
92,1,0.560156,0.36713,0.0890625,0.19537
94,1,0.559896,0.365741,0.0875,0.194444
96,1,0.560156,0.367593,0.0890625,0.196296
98,1,0.560156,0.367593,0.0890625,0.196296
100,1,0.560156,0.36713,0.0890625,0.19537
102,1,0.560156,0.368056,0.0890625,0.19537
104,1,0.559896,0.367593,0.0885417,0.196296
106,1,0.560156,0.367593,0.0890625,0.196296
108,1,0.560156,0.367593,0.0890625,0.196296
110,1,0.560156,0.366667,0.0890625,0.196296
112,1,0.560156,0.368056,0.0890625,0.197222
114,1,0.560156,0.36713,0.0890625,0.197222
116,1,0.560156,0.36713,0.0890625,0.19537
118,1,0.560156,0.36713,0.0890625,0.19537
120,1,0.560156,0.36713,0.0890625,0.19537
122,1,0.560156,0.367593,0.0890625,0.196296
124,1,0.560417,0.365741,0.0875,0.194444
126,1,0.559896,0.367593,0.0885417,0.196296
128,1,0.559896,0.36713,0.0885417,0.19537
130,1,0.560417,0.368056,0.0885417,0.19537
132,1,0.560156,0.367593,0.0890625,0.196296
134,1,0.560156,0.367593,0.0890625,0.196296
136,1,0.560156,0.367593,0.0890625,0.196296
138,1,0.560156,0.366667,0.0890625,0.196296
140,1,0.560156,0.36713,0.0890625,0.19537
142,1,0.560156,0.367593,0.0890625,0.196296
144,1,0.560156,0.367593,0.0890625,0.196296
146,1,0.560156,0.367593,0.0890625,0.196296
148,1,0.560156,0.368056,0.0890625,0.197222
150,1,0.559896,0.367593,0.0885417,0.196296
152,1,0.560156,0.36713,0.0890625,0.197222
154,1,0.560156,0.367593,0.0890625,0.196296
156,1,0.560156,0.367593,0.0890625,0.196296
158,1,0.560156,0.36713,0.0890625,0.19537
160,1,0.560156,0.367593,0.0890625,0.196296
162,1,0.560156,0.367593,0.0890625,0.196296
164,1,0.560156,0.36713,0.0890625,0.19537
166,1,0.560156,0.36713,0.0890625,0.19537
168,1,0.560156,0.367593,0.0890625,0.196296
170,1,0.559896,0.367593,0.0885417,0.194444
172,1,0.560156,0.367593,0.0890625,0.196296
174,1,0.560156,0.36713,0.0880208,0.19537
176,1,0.560156,0.367593,0.0890625,0.196296
178,1,0.560156,0.366667,0.0890625,0.196296
180,1,0.560156,0.367593,0.0890625,0.196296
182,1,0.560156,0.367593,0.0890625,0.196296
184,1,0.560156,0.367593,0.0890625,0.196296
186,1,0.560156,0.367593,0.0890625,0.196296
188,1,0.560417,0.367593,0.0885417,0.196296
