,label,x,y,w,h
1,0,0.460417,0.364352,0.0833333,0.221296
3,0,0.460417,0.363889,0.0833333,0.222222
5,0,0.460677,0.364352,0.0828125,0.221296
7,0,0.460417,0.364352,0.0833333,0.221296
9,0,0.460417,0.364352,0.0833333,0.221296
11,0,0.460417,0.364352,0.0833333,0.221296
13,0,0.460417,0.364352,0.0833333,0.221296
15,0,0.460417,0.363889,0.0833333,0.22037
17,0,0.460677,0.364352,0.0828125,0.221296
19,0,0.460417,0.363426,0.0833333,0.221296
21,0,0.460417,0.363889,0.0833333,0.22037
23,0,0.460417,0.363889,0.0833333,0.222222
25,0,0.460417,0.363426,0.0833333,0.221296
27,0,0.460417,0.363889,0.0833333,0.22037
29,0,0.460417,0.364352,0.0833333,0.221296
31,0,0.460417,0.363889,0.0833333,0.222222
33,0,0.460417,0.363889,0.0833333,0.222222
35,0,0.460417,0.363889,0.0833333,0.222222
37,0,0.460677,0.363426,0.0828125,0.221296
39,0,0.460417,0.363889,0.0833333,0.222222
41,0,0.460417,0.363426,0.0833333,0.221296
43,0,0.460417,0.363889,0.0833333,0.222222
45,0,0.460417,0.363426,0.0833333,0.221296
47,0,0.460417,0.363426,0.0833333,0.221296
49,0,0.460417,0.363889,0.0833333,0.222222
51,0,0.460417,0.364352,0.0833333,0.221296
53,0,0.460417,0.364352,0.0833333,0.221296
55,0,0.460417,0.363889,0.0833333,0.22037
57,0,0.460417,0.363426,0.0833333,0.221296
59,0,0.460417,0.363889,0.0833333,0.222222
61,0,0.460417,0.363426,0.0833333,0.221296
63,0,0.460417,0.363426,0.0833333,0.221296
65,0,0.460417,0.363426,0.0833333,0.221296
67,0,0.460417,0.363426,0.0833333,0.221296
69,0,0.460417,0.363889,0.0833333,0.222222
71,0,0.460417,0.363426,0.0833333,0.221296
73,0,0.460417,0.363426,0.0833333,0.221296
75,0,0.460417,0.363426,0.0833333,0.221296
77,0,0.460417,0.363426,0.0833333,0.221296
79,0,0.460417,0.363889,0.0833333,0.222222
81,0,0.460417,0.363426,0.0833333,0.221296
83,0,0.460417,0.363889,0.0833333,0.222222
85,0,0.460677,0.363426,0.0828125,0.221296
87,0,0.460417,0.363426,0.0833333,0.221296
89,0,0.460417,0.363889,0.0833333,0.222222
91,0,0.460677,0.363889,0.0828125,0.22037
93,0,0.460417,0.363889,0.0833333,0.222222
95,0,0.460417,0.363426,0.0833333,0.221296
97,0,0.460417,0.363889,0.0833333,0.22037
99,0,0.460417,0.363426,0.0833333,0.221296
101,0,0.460417,0.363426,0.0833333,0.221296
103,0,0.460417,0.363889,0.0833333,0.222222
105,0,0.460417,0.364352,0.0833333,0.221296
107,0,0.460417,0.363426,0.0833333,0.221296
109,0,0.460417,0.363426,0.0833333,0.221296
111,0,0.460417,0.363889,0.0833333,0.222222
113,0,0.460417,0.363889,0.0833333,0.222222
115,0,0.460417,0.363889,0.0833333,0.222222
117,0,0.460417,0.363426,0.0833333,0.221296
119,0,0.460417,0.364352,0.0833333,0.221296
121,0,0.460417,0.363426,0.0833333,0.221296
123,0,0.460417,0.364352,0.0833333,0.221296
125,0,0.460417,0.363889,0.0833333,0.222222
127,0,0.460417,0.363889,0.0833333,0.22037
129,0,0.460417,0.363889,0.0833333,0.222222
131,0,0.460417,0.363426,0.0833333,0.221296
133,0,0.460417,0.363426,0.0833333,0.221296
135,0,0.460417,0.363889,0.0833333,0.222222
137,0,0.460417,0.363889,0.0833333,0.222222
139,0,0.460417,0.363889,0.0833333,0.222222
141,0,0.460417,0.363426,0.0833333,0.221296
143,0,0.460417,0.363889,0.0833333,0.222222
145,0,0.460417,0.363426,0.0833333,0.221296
147,0,0.460417,0.363889,0.0833333,0.222222
149,0,0.460417,0.363889,0.0833333,0.222222
151,0,0.460417,0.363426,0.0833333,0.221296
153,0,0.460677,0.363889,0.0828125,0.222222
155,0,0.460417,0.363889,0.0833333,0.222222
157,0,0.460417,0.363426,0.0833333,0.221296
159,0,0.460417,0.363889,0.0833333,0.222222
161,0,0.460417,0.363889,0.0833333,0.222222
163,0,0.460417,0.363426,0.0833333,0.221296
165,0,0.460417,0.363889,0.0833333,0.222222
167,0,0.460417,0.363426,0.0833333,0.221296
169,0,0.460417,0.363889,0.0833333,0.222222
171,0,0.460677,0.363426,0.0828125,0.221296
173,0,0.460417,0.363889,0.0833333,0.222222
175,0,0.460417,0.363889,0.0833333,0.222222
177,0,0.460417,0.363889,0.0833333,0.222222
179,0,0.460417,0.364352,0.0833333,0.221296
181,0,0.460417,0.363889,0.0833333,0.22037
183,0,0.460156,0.363889,0.0828125,0.222222
185,0,0.460417,0.363889,0.0833333,0.222222
187,0,0.460677,0.363889,0.0828125,0.22037
189,0,0.460417,0.363426,0.0833333,0.221296
191,0,0.460677,0.364352,0.0838542,0.221296
193,0,0.460417,0.363889,0.0833333,0.222222
195,0,0.460417,0.363889,0.0833333,0.222222
197,0,0.460677,0.364352,0.0828125,0.221296
199,0,0.460417,0.363889,0.0833333,0.22037
201,0,0.460417,0.363889,0.0833333,0.222222
203,0,0.460417,0.363426,0.0833333,0.221296
205,0,0.460417,0.363889,0.0833333,0.222222
207,0,0.460417,0.363889,0.0833333,0.222222
209,0,0.460677,0.364352,0.0828125,0.221296
211,0,0.460417,0.363889,0.0833333,0.222222
213,0,0.460156,0.363889,0.0828125,0.222222
215,0,0.460417,0.363889,0.0833333,0.222222
217,0,0.460677,0.363889,0.0828125,0.22037
219,0,0.460417,0.363889,0.0833333,0.222222
221,0,0.460417,0.363889,0.0833333,0.222222
223,0,0.460417,0.363889,0.0833333,0.222222
225,0,0.460417,0.364352,0.0833333,0.221296
227,0,0.460417,0.363889,0.0833333,0.222222
229,0,0.460417,0.364352,0.0833333,0.221296
231,0,0.460417,0.363889,0.0833333,0.222222
233,0,0.460417,0.364352,0.0833333,0.221296
235,0,0.460417,0.363889,0.0833333,0.222222
237,0,0.460677,0.364352,0.0828125,0.221296
239,0,0.460417,0.363426,0.0833333,0.221296
241,0,0.460677,0.363889,0.0828125,0.222222
243,0,0.460417,0.363889,0.0833333,0.222222
245,0,0.460417,0.363426,0.0833333,0.221296
247,0,0.460677,0.363889,0.0828125,0.222222
249,0,0.460417,0.363889,0.0833333,0.222222
251,0,0.460677,0.363889,0.0828125,0.222222
253,0,0.460677,0.363426,0.0828125,0.221296
255,0,0.460417,0.363889,0.0833333,0.222222
257,0,0.460417,0.363426,0.0833333,0.221296
259,0,0.460677,0.363426,0.0828125,0.221296
261,0,0.460417,0.363426,0.0833333,0.221296
263,0,0.460417,0.363426,0.0833333,0.221296
265,0,0.460417,0.363426,0.0833333,0.221296
267,0,0.460417,0.363889,0.0833333,0.222222
269,0,0.460417,0.363889,0.0833333,0.222222
271,0,0.460677,0.363426,0.0828125,0.221296
273,0,0.460417,0.363889,0.0833333,0.222222
275,0,0.460417,0.363889,0.0833333,0.222222
277,0,0.460417,0.363889,0.0833333,0.222222
279,0,0.460417,0.363426,0.0833333,0.221296
281,0,0.460417,0.363889,0.0833333,0.222222
283,0,0.460417,0.363426,0.0833333,0.221296
285,0,0.460417,0.363426,0.0833333,0.221296
287,0,0.460417,0.363889,0.0833333,0.222222
289,0,0.460677,0.363889,0.0828125,0.222222
291,0,0.460417,0.363426,0.0833333,0.221296
293,0,0.460417,0.363889,0.0833333,0.222222
295,0,0.460677,0.363889,0.0828125,0.222222
297,0,0.460417,0.363889,0.0833333,0.222222
299,0,0.460417,0.363426,0.0833333,0.221296
301,0,0.460417,0.363889,0.0833333,0.222222
303,0,0.460417,0.363426,0.0833333,0.221296
305,0,0.460677,0.363889,0.0828125,0.222222
307,0,0.460417,0.363889,0.0833333,0.222222
309,0,0.460417,0.363889,0.0833333,0.222222
311,0,0.460417,0.363426,0.0833333,0.221296
313,0,0.460677,0.363426,0.0828125,0.221296
315,0,0.460417,0.363426,0.0833333,0.221296
317,0,0.460417,0.363426,0.0833333,0.221296
319,0,0.460417,0.363889,0.0833333,0.22037
321,0,0.460417,0.363889,0.0833333,0.222222
