,label,x,y,w,h
0,1,0.565104,0.300926,0.08125,0.2
2,1,0.564844,0.301389,0.0817708,0.199074
4,1,0.565104,0.301389,0.08125,0.199074
6,1,0.565104,0.300926,0.08125,0.198148
8,1,0.565104,0.300926,0.08125,0.2
10,1,0.565104,0.300926,0.08125,0.2
12,1,0.565104,0.300926,0.08125,0.2
14,1,0.565104,0.301389,0.08125,0.199074
16,1,0.565104,0.300926,0.08125,0.2
18,1,0.565365,0.300926,0.0817708,0.2
20,1,0.564844,0.300926,0.0817708,0.2
22,1,0.565104,0.300926,0.08125,0.2
24,1,0.565365,0.301389,0.0817708,0.199074
26,1,0.564844,0.301389,0.0817708,0.199074
28,1,0.565365,0.301389,0.0817708,0.199074
30,1,0.565104,0.301389,0.08125,0.199074
32,1,0.565104,0.301389,0.08125,0.199074
34,1,0.564844,0.301389,0.0817708,0.199074
36,1,0.564844,0.300926,0.0817708,0.2
38,1,0.564844,0.300926,0.0817708,0.2
40,1,0.565104,0.300926,0.08125,0.2
42,1,0.564844,0.300463,0.0817708,0.199074
44,1,0.565104,0.300926,0.08125,0.2
46,1,0.565104,0.300463,0.08125,0.199074
48,1,0.565104,0.301389,0.08125,0.199074
50,1,0.565104,0.300926,0.0822917,0.2
52,1,0.565104,0.301389,0.08125,0.199074
54,1,0.564844,0.300926,0.0817708,0.2
56,1,0.565104,0.300463,0.08125,0.199074
58,1,0.565104,0.300926,0.08125,0.2
60,1,0.565104,0.301389,0.08125,0.199074
62,1,0.565104,0.301389,0.08125,0.199074
64,1,0.565104,0.300926,0.08125,0.2
66,1,0.565104,0.300463,0.08125,0.199074
68,1,0.565104,0.301389,0.08125,0.199074
70,1,0.565104,0.300463,0.08125,0.199074
72,1,0.565104,0.300926,0.08125,0.198148
74,1,0.565104,0.300463,0.08125,0.199074
76,1,0.565104,0.300926,0.08125,0.198148
78,1,0.565104,0.300926,0.08125,0.2
80,1,0.565104,0.300926,0.08125,0.198148
82,1,0.565104,0.300926,0.08125,0.2
84,1,0.565104,0.300926,0.08125,0.198148
86,1,0.565104,0.300926,0.08125,0.198148
88,1,0.565104,0.300926,0.08125,0.198148
90,1,0.565104,0.300926,0.08125,0.198148
92,1,0.565104,0.300926,0.08125,0.198148
94,1,0.565104,0.300926,0.08125,0.198148
96,1,0.564844,0.300926,0.0817708,0.198148
98,1,0.564844,0.300926,0.0817708,0.198148
100,1,0.565104,0.300926,0.08125,0.198148
102,1,0.564844,0.300926,0.0817708,0.198148
104,1,0.565104,0.301389,0.08125,0.199074
106,1,0.564844,0.300926,0.0817708,0.198148
108,1,0.564844,0.300926,0.0817708,0.198148
110,1,0.564844,0.300926,0.0807292,0.198148
112,1,0.564583,0.300926,0.08125,0.198148
114,1,0.564583,0.300926,0.08125,0.198148
116,1,0.564844,0.300926,0.0807292,0.198148
118,1,0.564844,0.300926,0.0807292,0.198148
120,1,0.564844,0.300926,0.0807292,0.198148
122,1,0.564844,0.301389,0.0807292,0.197222
124,1,0.564583,0.301852,0.0802083,0.198148
126,1,0.564583,0.301852,0.0802083,0.198148
128,1,0.564583,0.301389,0.0802083,0.197222
130,1,0.564583,0.301389,0.0802083,0.197222
132,1,0.564323,0.301389,0.0796875,0.197222
134,1,0.564323,0.300926,0.0796875,0.196296
136,1,0.564323,0.301389,0.0796875,0.197222
138,1,0.564323,0.301389,0.0796875,0.197222
140,1,0.564583,0.301389,0.0791667,0.197222
142,1,0.564323,0.301389,0.0796875,0.197222
144,1,0.564062,0.301389,0.0791667,0.197222
146,1,0.564323,0.301389,0.0796875,0.197222
148,1,0.564323,0.301389,0.0796875,0.197222
150,1,0.564323,0.301389,0.0796875,0.197222
152,1,0.564323,0.301852,0.0796875,0.198148
154,1,0.563542,0.301389,0.0802083,0.197222
156,1,0.563281,0.301389,0.0817708,0.197222
158,1,0.563021,0.301389,0.0822917,0.197222
160,1,0.563021,0.301389,0.0822917,0.197222
162,1,0.56276,0.300926,0.0828125,0.198148
164,1,0.56276,0.300926,0.0828125,0.198148
166,1,0.56276,0.300926,0.0828125,0.198148
168,1,0.56276,0.300926,0.0828125,0.198148
170,1,0.56276,0.301389,0.0828125,0.199074
172,1,0.56276,0.301389,0.0828125,0.199074
174,1,0.5625,0.300926,0.0822917,0.198148
176,1,0.5625,0.301389,0.0822917,0.199074
178,1,0.5625,0.300926,0.0822917,0.198148
180,1,0.5625,0.300926,0.0822917,0.198148
182,1,0.5625,0.300926,0.0822917,0.198148
