,label,x,y,w,h
0,1,0.59349,0.568519,0.0953125,0.22037
2,1,0.59349,0.567593,0.0953125,0.222222
4,1,0.59349,0.568519,0.0953125,0.22037
6,1,0.59349,0.568519,0.0953125,0.22037
8,1,0.59349,0.568519,0.0953125,0.22037
10,1,0.59349,0.568519,0.0953125,0.22037
12,1,0.593229,0.568519,0.0947917,0.22037
14,1,0.59349,0.568519,0.0953125,0.22037
16,1,0.59349,0.568519,0.0953125,0.22037
18,1,0.59349,0.568519,0.0953125,0.22037
20,1,0.593229,0.568519,0.0958333,0.22037
22,1,0.59349,0.568519,0.0953125,0.22037
24,1,0.593229,0.568056,0.0958333,0.219444
26,1,0.593229,0.568056,0.0958333,0.221296
28,1,0.593229,0.568519,0.0958333,0.22037
30,1,0.59349,0.568519,0.0953125,0.22037
32,1,0.59349,0.568519,0.0953125,0.22037
34,1,0.593229,0.568056,0.0958333,0.221296
36,1,0.593229,0.568519,0.0958333,0.22037
38,1,0.593229,0.568519,0.0958333,0.22037
40,1,0.593229,0.568519,0.0958333,0.22037
42,1,0.593229,0.568056,0.0958333,0.221296
44,1,0.593229,0.568519,0.0958333,0.22037
46,1,0.593229,0.568519,0.0958333,0.22037
48,1,0.593229,0.568519,0.0958333,0.22037
50,1,0.593229,0.568056,0.0958333,0.221296
52,1,0.59349,0.568519,0.0953125,0.22037
54,1,0.59349,0.568519,0.0953125,0.22037
56,1,0.59349,0.568519,0.0953125,0.22037
58,1,0.593229,0.568519,0.0958333,0.22037
60,1,0.593229,0.568519,0.0958333,0.22037
62,1,0.593229,0.568056,0.0958333,0.221296
64,1,0.593229,0.568519,0.0958333,0.22037
66,1,0.593229,0.568519,0.0958333,0.22037
68,1,0.593229,0.568519,0.0958333,0.22037
70,1,0.593229,0.568519,0.0958333,0.22037
72,1,0.593229,0.568519,0.0958333,0.22037
74,1,0.593229,0.568519,0.0958333,0.22037
76,1,0.593229,0.568056,0.0958333,0.221296
78,1,0.593229,0.568519,0.0958333,0.22037
80,1,0.593229,0.568519,0.0958333,0.22037
82,1,0.593229,0.568056,0.0958333,0.221296
84,1,0.593229,0.568519,0.0958333,0.22037
86,1,0.593229,0.568519,0.0958333,0.22037
88,1,0.593229,0.568056,0.0958333,0.221296
90,1,0.593229,0.567593,0.0958333,0.222222
92,1,0.59349,0.568519,0.0953125,0.22037
94,1,0.593229,0.568519,0.0958333,0.22037
96,1,0.593229,0.568519,0.0958333,0.22037
98,1,0.593229,0.568519,0.0958333,0.22037
100,1,0.593229,0.568519,0.0958333,0.22037
102,1,0.59349,0.568519,0.0953125,0.22037
104,1,0.59349,0.568519,0.0953125,0.22037
106,1,0.593229,0.568056,0.0958333,0.219444
108,1,0.593229,0.568519,0.0958333,0.22037
