,label,x,y,w,h
0,1,0.535677,0.564352,0.0838542,0.180556
2,1,0.535677,0.563889,0.0838542,0.181481
4,1,0.535677,0.563889,0.0838542,0.181481
6,1,0.535677,0.563889,0.0838542,0.181481
8,1,0.535677,0.563889,0.0838542,0.181481
10,1,0.535677,0.563889,0.0838542,0.181481
12,1,0.535677,0.564352,0.0838542,0.182407
14,1,0.535677,0.563889,0.0838542,0.181481
16,1,0.535677,0.563889,0.0838542,0.181481
18,1,0.535677,0.563889,0.0838542,0.181481
20,1,0.535677,0.563889,0.0838542,0.181481
22,1,0.535677,0.563889,0.0838542,0.181481
24,1,0.535677,0.563889,0.0838542,0.181481
26,1,0.535677,0.563889,0.0838542,0.181481
28,1,0.535677,0.563889,0.0838542,0.181481
30,1,0.535677,0.563889,0.0838542,0.181481
32,1,0.535677,0.564352,0.0838542,0.180556
34,1,0.535677,0.563889,0.0838542,0.181481
36,1,0.535677,0.563889,0.0838542,0.181481
38,1,0.535677,0.564352,0.0838542,0.182407
40,1,0.535677,0.564352,0.0838542,0.182407
42,1,0.535677,0.563889,0.0838542,0.181481
44,1,0.535677,0.563889,0.0838542,0.181481
46,1,0.535677,0.563889,0.0838542,0.181481
48,1,0.535677,0.564352,0.0838542,0.182407
50,1,0.535677,0.563889,0.0838542,0.181481
52,1,0.535677,0.563889,0.0838542,0.181481
54,1,0.535677,0.564352,0.0838542,0.182407
56,1,0.535677,0.563889,0.0838542,0.181481
58,1,0.535677,0.563889,0.0838542,0.181481
60,1,0.535677,0.563889,0.0838542,0.181481
62,1,0.535677,0.563889,0.0838542,0.181481
64,1,0.535677,0.563889,0.0838542,0.181481
66,1,0.535677,0.564352,0.0838542,0.180556
68,1,0.535677,0.563889,0.0838542,0.181481
70,1,0.535677,0.563889,0.0838542,0.181481
72,1,0.535677,0.563889,0.0838542,0.181481
74,1,0.535677,0.563889,0.0838542,0.181481
76,1,0.535677,0.563889,0.0838542,0.181481
78,1,0.535677,0.564352,0.0838542,0.180556
80,1,0.535677,0.564352,0.0838542,0.180556
82,1,0.535677,0.563889,0.0838542,0.181481
84,1,0.535677,0.563889,0.0838542,0.181481
86,1,0.535677,0.564815,0.0838542,0.181481
88,1,0.535677,0.564352,0.0838542,0.182407
90,1,0.535677,0.564352,0.0838542,0.180556
92,1,0.535677,0.564352,0.0838542,0.182407
94,1,0.535677,0.563889,0.0838542,0.181481
96,1,0.535677,0.563889,0.0828125,0.181481
98,1,0.535417,0.563889,0.0833333,0.181481
100,1,0.535417,0.563889,0.0833333,0.181481
102,1,0.535677,0.563889,0.0828125,0.181481
104,1,0.535417,0.563889,0.0833333,0.181481
106,1,0.535156,0.563889,0.0828125,0.181481
108,1,0.535156,0.563889,0.0828125,0.181481
110,1,0.535417,0.564352,0.08125,0.182407
112,1,0.535417,0.563889,0.08125,0.183333
114,1,0.535156,0.564352,0.0828125,0.182407
116,1,0.535417,0.564352,0.0822917,0.182407
118,1,0.535417,0.563889,0.08125,0.183333
120,1,0.535417,0.563889,0.08125,0.183333
122,1,0.535417,0.563889,0.08125,0.183333
124,1,0.535417,0.564352,0.0822917,0.182407
126,1,0.535156,0.563889,0.0807292,0.183333
128,1,0.535156,0.563889,0.0807292,0.183333
130,1,0.534896,0.563889,0.08125,0.183333
132,1,0.535156,0.563889,0.0828125,0.181481
134,1,0.535156,0.563889,0.0817708,0.183333
136,1,0.535417,0.563889,0.08125,0.183333
138,1,0.535417,0.563889,0.0822917,0.181481
140,1,0.535156,0.563889,0.0828125,0.181481
142,1,0.535417,0.564352,0.0822917,0.182407
144,1,0.535156,0.563889,0.0828125,0.181481
146,1,0.535417,0.564352,0.08125,0.182407
148,1,0.535417,0.564352,0.0822917,0.182407
150,1,0.535156,0.563889,0.0828125,0.181481
152,1,0.535417,0.564352,0.08125,0.182407
154,1,0.535156,0.563889,0.0817708,0.183333
156,1,0.535156,0.564815,0.0828125,0.181481
158,1,0.535156,0.564352,0.0828125,0.182407
160,1,0.535417,0.564352,0.0822917,0.180556
162,1,0.535417,0.563889,0.08125,0.183333
164,1,0.535417,0.563889,0.08125,0.183333
166,1,0.535417,0.563889,0.0833333,0.181481
168,1,0.535156,0.563889,0.0817708,0.183333
170,1,0.535417,0.563889,0.08125,0.183333
172,1,0.535417,0.564352,0.08125,0.182407
174,1,0.535417,0.563889,0.08125,0.181481
176,1,0.535417,0.563889,0.0833333,0.181481
178,1,0.535417,0.564815,0.0822917,0.181481
180,1,0.535417,0.563889,0.08125,0.183333
182,1,0.535417,0.564815,0.0833333,0.181481
184,1,0.535677,0.564815,0.0828125,0.181481
186,1,0.535417,0.563889,0.08125,0.183333
188,1,0.535156,0.563889,0.0828125,0.181481
190,1,0.535417,0.564352,0.0822917,0.180556
192,1,0.535417,0.563889,0.08125,0.183333
194,1,0.535417,0.564352,0.08125,0.182407
196,1,0.535156,0.564352,0.0828125,0.180556
198,1,0.535156,0.563889,0.0817708,0.183333
200,1,0.535417,0.563426,0.08125,0.182407
