,label,x,y,w,h
0,1,0.539062,0.585648,0.0677083,0.182407
2,1,0.539062,0.586111,0.0677083,0.181481
4,1,0.539062,0.585185,0.0677083,0.181481
6,1,0.539062,0.585648,0.0677083,0.182407
8,1,0.539062,0.585648,0.0677083,0.182407
10,1,0.539062,0.586111,0.0677083,0.181481
12,1,0.539062,0.586111,0.0677083,0.181481
14,1,0.539062,0.585648,0.0677083,0.182407
16,1,0.539062,0.586111,0.0677083,0.181481
18,1,0.539062,0.586111,0.0677083,0.181481
20,1,0.539062,0.585648,0.0677083,0.182407
22,1,0.539062,0.585648,0.0677083,0.182407
24,1,0.539062,0.586111,0.0677083,0.181481
26,1,0.539062,0.585648,0.0677083,0.182407
28,1,0.539062,0.586111,0.0677083,0.181481
30,1,0.539062,0.586111,0.0677083,0.181481
32,1,0.539062,0.585648,0.0677083,0.182407
34,1,0.539062,0.585648,0.0677083,0.182407
36,1,0.539062,0.586111,0.0677083,0.181481
38,1,0.539062,0.586111,0.0677083,0.181481
40,1,0.539062,0.586111,0.0677083,0.181481
42,1,0.539062,0.586111,0.0677083,0.181481
44,1,0.539062,0.585648,0.0677083,0.182407
46,1,0.538802,0.586111,0.0671875,0.181481
48,1,0.539062,0.585648,0.0677083,0.180556
50,1,0.539062,0.585185,0.0677083,0.181481
52,1,0.539062,0.585648,0.0677083,0.182407
54,1,0.539062,0.586111,0.0677083,0.181481
56,1,0.539062,0.585185,0.0677083,0.181481
58,1,0.539062,0.586111,0.0677083,0.181481
60,1,0.538802,0.586111,0.0671875,0.181481
62,1,0.539062,0.586111,0.0677083,0.181481
64,1,0.539062,0.586111,0.0677083,0.181481
66,1,0.539062,0.585648,0.0677083,0.182407
68,1,0.539062,0.586111,0.0677083,0.181481
70,1,0.539062,0.586111,0.0677083,0.181481
72,1,0.539062,0.585185,0.0677083,0.181481
74,1,0.539062,0.586111,0.0677083,0.181481
76,1,0.539062,0.585648,0.0677083,0.182407
78,1,0.538802,0.586111,0.0682292,0.181481
80,1,0.538802,0.586111,0.0682292,0.181481
82,1,0.539062,0.586111,0.0677083,0.181481
84,1,0.539062,0.585648,0.0677083,0.182407
86,1,0.538802,0.585648,0.0682292,0.182407
88,1,0.538802,0.586111,0.0671875,0.181481
