,label,x,y,w,h
1,0,0.403125,0.558796,0.0875,0.225
3,0,0.403125,0.558796,0.0875,0.225
5,0,0.402865,0.558796,0.0880208,0.225
7,0,0.403125,0.558796,0.0875,0.225
9,0,0.403125,0.558796,0.0875,0.225
11,0,0.403125,0.558796,0.0875,0.225
13,0,0.403125,0.558796,0.0875,0.225
15,0,0.403125,0.559259,0.0875,0.224074
17,0,0.402865,0.558796,0.0880208,0.225
19,0,0.402865,0.558796,0.0880208,0.225
21,0,0.402865,0.558796,0.0880208,0.225
23,0,0.403125,0.558796,0.0875,0.225
25,0,0.402865,0.558796,0.0880208,0.225
27,0,0.403125,0.558796,0.0875,0.225
29,0,0.403125,0.558796,0.0875,0.225
31,0,0.403125,0.558796,0.0875,0.225
33,0,0.403125,0.558796,0.0875,0.225
35,0,0.402865,0.558796,0.0880208,0.225
37,0,0.403125,0.558796,0.0885417,0.225
39,0,0.403125,0.558796,0.0875,0.225
41,0,0.403125,0.558796,0.0885417,0.225
43,0,0.403125,0.558796,0.0875,0.225
45,0,0.403125,0.558796,0.0875,0.225
47,0,0.403125,0.558796,0.0875,0.225
49,0,0.402865,0.558796,0.0880208,0.225
51,0,0.403125,0.558796,0.0885417,0.225
53,0,0.403125,0.558796,0.0875,0.225
55,0,0.403385,0.558796,0.0880208,0.225
57,0,0.403385,0.558796,0.0880208,0.225
59,0,0.402865,0.558796,0.0880208,0.225
61,0,0.403125,0.558796,0.0875,0.225
63,0,0.403125,0.558796,0.0885417,0.225
65,0,0.403385,0.558796,0.0880208,0.225
67,0,0.403385,0.558796,0.0880208,0.225
69,0,0.403125,0.558796,0.0885417,0.225
71,0,0.403125,0.559259,0.0875,0.224074
73,0,0.403125,0.559259,0.0875,0.224074
75,0,0.403125,0.558796,0.0875,0.225
77,0,0.403125,0.558796,0.0875,0.225
79,0,0.403125,0.558796,0.0875,0.225
81,0,0.403125,0.559259,0.0875,0.224074
83,0,0.403125,0.558796,0.0875,0.225
85,0,0.402865,0.558796,0.0880208,0.225
87,0,0.403385,0.558796,0.0880208,0.225
89,0,0.403385,0.558796,0.0880208,0.225
91,0,0.403125,0.558796,0.0875,0.225
93,0,0.402865,0.558796,0.0880208,0.225
95,0,0.403125,0.558796,0.0885417,0.225
97,0,0.403125,0.559259,0.0885417,0.225926
99,0,0.403385,0.558796,0.0880208,0.225
101,0,0.403125,0.558796,0.0875,0.225
103,0,0.403125,0.558796,0.0875,0.225
105,0,0.403385,0.558796,0.0880208,0.225
107,0,0.403385,0.558796,0.0880208,0.225
109,0,0.402865,0.558796,0.0880208,0.225
111,0,0.403125,0.558796,0.0885417,0.225
113,0,0.403125,0.558796,0.0885417,0.225
115,0,0.403125,0.558796,0.0875,0.225
117,0,0.402865,0.559259,0.0880208,0.224074
119,0,0.402865,0.558796,0.0880208,0.225
121,0,0.403125,0.558796,0.0875,0.225
123,0,0.402865,0.558796,0.0880208,0.225
125,0,0.402865,0.558796,0.0880208,0.225
127,0,0.403125,0.558796,0.0875,0.225
129,0,0.402865,0.558796,0.0880208,0.225
131,0,0.402865,0.558796,0.0880208,0.225
133,0,0.403125,0.558796,0.0885417,0.225
135,0,0.402865,0.558796,0.0880208,0.225
137,0,0.403125,0.558796,0.0875,0.225
139,0,0.403385,0.558796,0.0880208,0.225
141,0,0.403125,0.559259,0.0875,0.225926
143,0,0.403125,0.558796,0.0875,0.225
145,0,0.403125,0.558796,0.0875,0.225
147,0,0.403385,0.558796,0.0880208,0.225
149,0,0.403125,0.558796,0.0875,0.225
151,0,0.403385,0.558796,0.0880208,0.225
153,0,0.402865,0.559259,0.0880208,0.225926
155,0,0.402865,0.558796,0.0880208,0.225
157,0,0.403125,0.558796,0.0875,0.225
159,0,0.402865,0.559259,0.0880208,0.224074
161,0,0.403385,0.558796,0.0880208,0.225
163,0,0.403125,0.558796,0.0885417,0.225
165,0,0.403125,0.558796,0.0885417,0.226852
167,0,0.403385,0.558796,0.0880208,0.225
169,0,0.402865,0.559259,0.0880208,0.224074
171,0,0.402865,0.558796,0.0880208,0.225
173,0,0.402865,0.559259,0.0880208,0.224074
175,0,0.403125,0.558796,0.0875,0.225
177,0,0.403125,0.558796,0.0875,0.225
179,0,0.403385,0.558796,0.0880208,0.225
181,0,0.403385,0.558796,0.0880208,0.225
183,0,0.403125,0.558796,0.0885417,0.225
185,0,0.402865,0.558796,0.0880208,0.225
187,0,0.403125,0.558796,0.0875,0.225
189,0,0.403125,0.558796,0.0885417,0.225
191,0,0.403125,0.559259,0.0885417,0.225926
193,0,0.403125,0.558796,0.0885417,0.225
195,0,0.402865,0.558796,0.0880208,0.225
197,0,0.403125,0.559259,0.0885417,0.225926
199,0,0.403125,0.558796,0.0885417,0.225
201,0,0.403125,0.559259,0.0885417,0.225926
203,0,0.403125,0.559259,0.0885417,0.225926
205,0,0.403385,0.558796,0.0880208,0.225
207,0,0.403125,0.558796,0.0885417,0.225
209,0,0.403385,0.558796,0.0880208,0.225
211,0,0.402865,0.558796,0.0880208,0.225
213,0,0.403125,0.558796,0.0885417,0.225
215,0,0.403385,0.558796,0.0880208,0.225
217,0,0.403125,0.558796,0.0875,0.225
219,0,0.403385,0.558796,0.0880208,0.225
221,0,0.402865,0.559259,0.0880208,0.225926
223,0,0.403125,0.558796,0.0885417,0.225
225,0,0.403125,0.558796,0.0875,0.225
227,0,0.403125,0.558796,0.0885417,0.225
229,0,0.403125,0.559259,0.0885417,0.225926
231,0,0.403125,0.558796,0.0875,0.225
233,0,0.403125,0.558796,0.0875,0.225
235,0,0.403385,0.558796,0.0880208,0.225
237,0,0.403385,0.559259,0.0880208,0.225926
239,0,0.403125,0.558796,0.0875,0.225
241,0,0.403125,0.559259,0.0875,0.225926
243,0,0.403385,0.558796,0.0880208,0.225
245,0,0.403125,0.558796,0.0875,0.225
247,0,0.403125,0.559259,0.0875,0.224074
249,0,0.403385,0.559259,0.0880208,0.224074
251,0,0.403385,0.559259,0.0880208,0.224074
253,0,0.403125,0.559259,0.0885417,0.224074
255,0,0.403385,0.558796,0.0880208,0.225
257,0,0.403125,0.559259,0.0875,0.224074
259,0,0.403385,0.559259,0.0880208,0.225926
261,0,0.403385,0.558796,0.0880208,0.225
263,0,0.402865,0.559722,0.0880208,0.225
265,0,0.403385,0.559259,0.0880208,0.224074
267,0,0.402865,0.559259,0.0880208,0.224074
269,0,0.402344,0.559259,0.0880208,0.224074
271,0,0.40026,0.559722,0.0901042,0.225
273,0,0.397135,0.559259,0.0921875,0.227778
275,0,0.390365,0.556944,0.0953125,0.236111
277,0,0.382552,0.554167,0.0984375,0.239815
279,0,0.36276,0.550463,0.0890625,0.247222
281,0,0.345052,0.541204,0.0994792,0.247222
283,0,0.321354,0.526389,0.0979167,0.247222
285,0,0.29375,0.510648,0.0947917,0.241667
287,0,0.263542,0.495833,0.0947917,0.239815
289,0,0.23724,0.482407,0.0953125,0.237037
291,0,0.215365,0.46713,0.0973958,0.232407
293,0,0.195312,0.456944,0.0947917,0.228704
295,0,0.18125,0.446296,0.09375,0.231481
297,0,0.168229,0.440741,0.0947917,0.231481
299,0,0.1625,0.437037,0.0916667,0.231481
301,0,0.154948,0.435185,0.0901042,0.235185
302,0,0.152604,0.435185,0.0875,0.233333
305,0,0.151302,0.435648,0.0859375,0.232407
307,0,0.151302,0.440278,0.0838542,0.228704
