,label,x,y,w,h
0,1,0.558594,0.593518,0.0838542,0.159259
2,1,0.558594,0.593518,0.0838542,0.159259
4,1,0.558854,0.593518,0.0833333,0.159259
6,1,0.558594,0.593518,0.0838542,0.159259
8,1,0.558854,0.593056,0.0833333,0.158333
10,1,0.558854,0.593518,0.0833333,0.159259
12,1,0.558594,0.593056,0.0838542,0.160185
14,1,0.558594,0.593518,0.0838542,0.159259
16,1,0.558594,0.593518,0.0838542,0.159259
18,1,0.558594,0.593518,0.0838542,0.159259
20,1,0.558854,0.593056,0.0833333,0.160185
22,1,0.558594,0.593518,0.0838542,0.159259
24,1,0.558594,0.592593,0.0838542,0.159259
26,1,0.558854,0.593518,0.0833333,0.159259
28,1,0.558594,0.593056,0.0838542,0.158333
30,1,0.558594,0.592593,0.0838542,0.159259
32,1,0.558594,0.593056,0.0838542,0.160185
34,1,0.558594,0.593056,0.0838542,0.160185
36,1,0.558594,0.593056,0.0838542,0.160185
38,1,0.558594,0.593518,0.0838542,0.159259
40,1,0.558594,0.593056,0.0838542,0.160185
42,1,0.558594,0.593056,0.0838542,0.160185
44,1,0.558594,0.593056,0.0838542,0.160185
46,1,0.558594,0.592593,0.0838542,0.159259
48,1,0.558854,0.592593,0.0833333,0.159259
50,1,0.558594,0.593056,0.0838542,0.160185
52,1,0.558594,0.593056,0.0838542,0.160185
54,1,0.558594,0.593056,0.0838542,0.160185
56,1,0.558594,0.593056,0.0838542,0.160185
58,1,0.558594,0.593056,0.0838542,0.160185
60,1,0.558594,0.593056,0.0838542,0.160185
62,1,0.558594,0.593056,0.0838542,0.160185
64,1,0.558854,0.593056,0.084375,0.160185
66,1,0.558594,0.593056,0.0838542,0.160185
68,1,0.558594,0.592593,0.0838542,0.159259
70,1,0.558594,0.593056,0.0838542,0.160185
72,1,0.558594,0.592593,0.0838542,0.159259
74,1,0.558594,0.593518,0.0838542,0.159259
76,1,0.558594,0.592593,0.0838542,0.159259
78,1,0.558594,0.593056,0.0838542,0.160185
80,1,0.558594,0.593056,0.0838542,0.160185
82,1,0.558594,0.592593,0.0838542,0.159259
84,1,0.558854,0.593056,0.0833333,0.160185
86,1,0.558594,0.593056,0.0838542,0.160185
88,1,0.558594,0.593056,0.0838542,0.160185
90,1,0.558854,0.592593,0.0833333,0.159259
92,1,0.558594,0.593518,0.0838542,0.159259
94,1,0.558594,0.592593,0.0838542,0.159259
96,1,0.558594,0.592593,0.0838542,0.159259
98,1,0.558594,0.593056,0.0838542,0.158333
100,1,0.558594,0.592593,0.0838542,0.159259
102,1,0.558594,0.592593,0.0838542,0.159259
104,1,0.558594,0.593056,0.0838542,0.160185
106,1,0.558594,0.593056,0.0838542,0.158333
108,1,0.558594,0.593056,0.0838542,0.158333
110,1,0.558594,0.593056,0.0838542,0.158333
112,1,0.558594,0.593056,0.0838542,0.158333
114,1,0.558594,0.593056,0.0838542,0.158333
116,1,0.558594,0.593518,0.0838542,0.159259
118,1,0.558594,0.593056,0.0838542,0.158333
120,1,0.558854,0.593056,0.0833333,0.160185
122,1,0.558594,0.593056,0.0838542,0.158333
124,1,0.558594,0.593056,0.0838542,0.158333
126,1,0.558594,0.593056,0.0838542,0.158333
128,1,0.558594,0.593056,0.0838542,0.160185
130,1,0.558594,0.592593,0.0838542,0.159259
132,1,0.558854,0.593056,0.0833333,0.160185
134,1,0.558594,0.592593,0.0838542,0.159259
136,1,0.558594,0.593518,0.0838542,0.159259
138,1,0.558594,0.593056,0.0838542,0.160185
140,1,0.558854,0.593056,0.0833333,0.158333
142,1,0.558594,0.593518,0.0838542,0.159259
144,1,0.559115,0.591667,0.0848958,0.159259
146,1,0.558594,0.592593,0.0838542,0.159259
148,1,0.558594,0.593056,0.0838542,0.158333
150,1,0.558854,0.593056,0.0833333,0.158333
152,1,0.558594,0.593056,0.0838542,0.158333
154,1,0.558594,0.593518,0.0838542,0.159259
156,1,0.558594,0.592593,0.0838542,0.159259
158,1,0.558594,0.593056,0.0838542,0.158333
160,1,0.558594,0.592593,0.0838542,0.159259
162,1,0.558594,0.592593,0.0838542,0.159259
164,1,0.558594,0.592593,0.0838542,0.159259
166,1,0.558594,0.592593,0.0838542,0.159259
168,1,0.558594,0.593056,0.0838542,0.160185
170,1,0.558594,0.593518,0.0838542,0.159259
172,1,0.558594,0.593056,0.0838542,0.160185
174,1,0.558594,0.592593,0.0838542,0.159259
176,1,0.558594,0.593056,0.0838542,0.160185
178,1,0.558854,0.593056,0.084375,0.158333
180,1,0.558594,0.593518,0.0838542,0.159259
182,1,0.558594,0.593518,0.0838542,0.159259
184,1,0.558594,0.593056,0.0838542,0.158333
186,1,0.558594,0.593518,0.0838542,0.159259
188,1,0.559115,0.59213,0.0848958,0.158333
190,1,0.559115,0.591667,0.0848958,0.159259
192,1,0.559115,0.591204,0.0848958,0.158333
194,1,0.558594,0.593056,0.0838542,0.158333
196,1,0.558594,0.591667,0.0848958,0.159259
198,1,0.558594,0.593518,0.0838542,0.159259
200,1,0.558854,0.591667,0.0854167,0.159259
202,1,0.558594,0.593518,0.0838542,0.159259
204,1,0.558594,0.591667,0.0848958,0.159259
206,1,0.558854,0.59213,0.0854167,0.158333
208,1,0.558854,0.59213,0.0854167,0.158333
210,1,0.558594,0.593982,0.0838542,0.158333
212,1,0.558333,0.593982,0.084375,0.158333
214,1,0.558333,0.594444,0.084375,0.157407
216,1,0.558594,0.594907,0.0838542,0.158333
218,1,0.558333,0.594444,0.084375,0.157407
220,1,0.558333,0.59537,0.0833333,0.157407
222,1,0.558333,0.59537,0.0833333,0.157407
224,1,0.558854,0.594444,0.084375,0.155556
226,1,0.558594,0.593982,0.0848958,0.156481
228,1,0.558333,0.594907,0.0833333,0.156481
230,1,0.558854,0.593982,0.084375,0.156481
