,label,x,y,w,h
1,0,0.42474,0.616204,0.0848958,0.169444
3,0,0.42474,0.616204,0.0848958,0.167593
5,0,0.42474,0.615741,0.0848958,0.168519
7,0,0.42474,0.616204,0.0848958,0.167593
9,0,0.42474,0.615741,0.0848958,0.168519
11,0,0.42474,0.615741,0.0848958,0.168519
13,0,0.42474,0.615741,0.0848958,0.168519
15,0,0.42474,0.615741,0.0848958,0.168519
17,0,0.42474,0.615741,0.0848958,0.168519
19,0,0.425,0.615741,0.0854167,0.168519
21,0,0.42474,0.615741,0.0848958,0.168519
23,0,0.425,0.615741,0.0854167,0.168519
25,0,0.425,0.615741,0.0854167,0.168519
27,0,0.42474,0.615278,0.0848958,0.169444
29,0,0.425,0.615278,0.084375,0.169444
31,0,0.42474,0.615741,0.0848958,0.168519
33,0,0.42474,0.615741,0.0848958,0.168519
35,0,0.42526,0.615278,0.0848958,0.169444
37,0,0.425,0.615741,0.084375,0.168519
39,0,0.425,0.615741,0.084375,0.168519
41,0,0.42526,0.615278,0.0848958,0.169444
43,0,0.42474,0.615278,0.0848958,0.169444
45,0,0.425,0.615741,0.084375,0.168519
47,0,0.42474,0.615741,0.0848958,0.168519
49,0,0.42526,0.615278,0.0848958,0.169444
51,0,0.425,0.615278,0.0854167,0.169444
53,0,0.42474,0.615278,0.0848958,0.169444
55,0,0.42526,0.615741,0.0848958,0.168519
57,0,0.425,0.615278,0.0854167,0.169444
59,0,0.42526,0.615741,0.0848958,0.168519
61,0,0.42526,0.615741,0.0848958,0.168519
63,0,0.425,0.615741,0.084375,0.168519
65,0,0.425,0.615278,0.084375,0.169444
67,0,0.425,0.615278,0.084375,0.169444
69,0,0.425,0.615741,0.084375,0.168519
71,0,0.42526,0.615278,0.0848958,0.169444
73,0,0.425,0.615741,0.084375,0.168519
75,0,0.425,0.615741,0.084375,0.168519
77,0,0.425,0.615741,0.084375,0.168519
79,0,0.425,0.615741,0.084375,0.168519
81,0,0.425,0.615741,0.084375,0.168519
83,0,0.425,0.615278,0.084375,0.169444
85,0,0.42526,0.615741,0.0848958,0.168519
87,0,0.425,0.615741,0.084375,0.168519
89,0,0.425,0.615741,0.084375,0.168519
91,0,0.42526,0.615741,0.0848958,0.168519
93,0,0.425,0.615741,0.084375,0.168519
95,0,0.425,0.615741,0.084375,0.168519
97,0,0.425,0.615741,0.084375,0.168519
99,0,0.425,0.615741,0.084375,0.168519
101,0,0.425,0.615278,0.084375,0.167593
103,0,0.425,0.615741,0.084375,0.168519
105,0,0.425,0.615278,0.084375,0.167593
107,0,0.425,0.615741,0.084375,0.168519
109,0,0.42526,0.615741,0.0848958,0.168519
111,0,0.425,0.615741,0.084375,0.168519
113,0,0.425,0.615741,0.084375,0.168519
115,0,0.42526,0.615741,0.0848958,0.168519
117,0,0.42526,0.615741,0.0848958,0.168519
119,0,0.42526,0.615741,0.0848958,0.168519
121,0,0.425,0.615741,0.084375,0.168519
123,0,0.42526,0.615741,0.0848958,0.168519
125,0,0.425,0.615741,0.084375,0.168519
127,0,0.42526,0.615741,0.0848958,0.168519
129,0,0.425,0.615741,0.084375,0.168519
131,0,0.425,0.615741,0.084375,0.168519
133,0,0.42526,0.615278,0.0848958,0.167593
135,0,0.425,0.615741,0.084375,0.168519
137,0,0.425,0.615741,0.084375,0.168519
139,0,0.425,0.616204,0.084375,0.167593
141,0,0.425,0.615741,0.084375,0.168519
143,0,0.42526,0.615741,0.0848958,0.168519
145,0,0.42526,0.615741,0.0848958,0.168519
147,0,0.425,0.615741,0.084375,0.168519
149,0,0.425,0.615741,0.084375,0.168519
151,0,0.42526,0.616204,0.0848958,0.167593
153,0,0.42526,0.615741,0.0848958,0.168519
155,0,0.425,0.615741,0.084375,0.168519
157,0,0.425,0.615741,0.084375,0.168519
159,0,0.42526,0.615278,0.0848958,0.167593
161,0,0.425,0.615741,0.084375,0.168519
163,0,0.42526,0.615741,0.0848958,0.168519
165,0,0.425,0.615741,0.084375,0.168519
167,0,0.425,0.615741,0.084375,0.168519
169,0,0.425,0.615741,0.084375,0.168519
171,0,0.425,0.615741,0.084375,0.168519
173,0,0.425,0.616204,0.084375,0.167593
175,0,0.425,0.615741,0.084375,0.168519
177,0,0.42526,0.615741,0.0848958,0.168519
179,0,0.425,0.615741,0.084375,0.168519
181,0,0.42526,0.615741,0.0848958,0.168519
183,0,0.425,0.615741,0.084375,0.168519
185,0,0.425,0.615741,0.084375,0.168519
187,0,0.42526,0.615741,0.0848958,0.168519
189,0,0.42526,0.615278,0.0848958,0.169444
191,0,0.42526,0.615741,0.0848958,0.168519
193,0,0.42526,0.615741,0.0848958,0.168519
195,0,0.425,0.615741,0.084375,0.168519
197,0,0.42526,0.615741,0.0848958,0.168519
199,0,0.42526,0.615278,0.0848958,0.169444
201,0,0.42526,0.615741,0.0848958,0.168519
203,0,0.42526,0.615741,0.0848958,0.168519
205,0,0.425,0.615278,0.084375,0.169444
207,0,0.425,0.615741,0.0854167,0.168519
209,0,0.425521,0.615278,0.0854167,0.171296
211,0,0.425521,0.615278,0.0854167,0.171296
